term,source_type,doc_count,doc_ratio
링크,bank_call,30,0.06
링크,voicephishing,365,0.73
앱,bank_call,500,1.0
앱,voicephishing,351,0.702
설치,bank_call,0,0.0
설치,voicephishing,307,0.614
인증번호,bank_call,108,0.216
인증번호,voicephishing,279,0.558
원격,bank_call,0,0.0
원격,voicephishing,146,0.292
이체,bank_call,393,0.786
이체,voicephishing,177,0.354
송금,bank_call,60,0.12
송금,voicephishing,0,0.0
대표번호,bank_call,484,0.968
대표번호,voicephishing,0,0.0
공식,bank_call,500,1.0
공식,voicephishing,58,0.116
영업점,bank_call,500,1.0
영업점,voicephishing,0,0.0
방문,bank_call,500,1.0
방문,voicephishing,28,0.056
내부,bank_call,485,0.97
내부,voicephishing,72,0.144
검토,bank_call,500,1.0
검토,voicephishing,15,0.03
이상거래,bank_call,500,1.0
이상거래,voicephishing,44,0.088
보안점검,bank_call,500,1.0
보안점검,voicephishing,15,0.03
본인확인,bank_call,500,1.0
본인확인,voicephishing,59,0.118
명의도용,bank_call,500,1.0
명의도용,voicephishing,0,0.0
사건번호,bank_call,0,0.0
사건번호,voicephishing,0,0.0
수사관,bank_call,0,0.0
수사관,voicephishing,0,0.0
검찰,bank_call,0,0.0
검찰,voicephishing,0,0.0
보호,bank_call,500,1.0
보호,voicephishing,500,1.0
제한,bank_call,500,1.0
제한,voicephishing,131,0.262
지급정지,bank_call,425,0.85
지급정지,voicephishing,14,0.028
