source_type,term,count
bank_call,보호,1954
bank_call,앱에서,1571
bank_call,제가,1528
bank_call,내부,1377
bank_call,공식,1211
bank_call,접속,1153
bank_call,임시,1136
bank_call,본인확인,1088
bank_call,이상거래,1057
bank_call,건가요,955
bank_call,보안점검,924
bank_call,다만,891
bank_call,비정상,880
bank_call,명의도용,819
bank_call,직접,802
bank_call,영업점,802
bank_call,다계좌,790
bank_call,대표번호로,772
bank_call,단계,724
bank_call,제한해제,714
bank_call,의심,713
bank_call,카드,713
bank_call,확인이,699
bank_call,접수번호,693
bank_call,일부,651
bank_call,제한이,648
bank_call,있어,609
bank_call,확인해,593
bank_call,00,584
bank_call,함께,576
bank_call,검토,575
bank_call,제한,546
bank_call,우선,533
bank_call,계좌가,527
bank_call,하나요,503
bank_call,명의,485
bank_call,필요합니다,485
bank_call,여부를,484
bank_call,다른,472
bank_call,현재는,454
voicephishing,보호,1207
voicephishing,맞습니다,620
voicephishing,00,607
voicephishing,제가,603
voicephishing,등록된,578
voicephishing,이상,471
voicephishing,접속,458
voicephishing,주소는,412
voicephishing,직접,396
voicephishing,어떤,369
voicephishing,우선,354
voicephishing,필요합니다,322
voicephishing,저는,311
voicephishing,안녕하세요,310
voicephishing,없는데요,310
voicephishing,사용,309
voicephishing,문자로,309
voicephishing,링크를,307
voicephishing,무슨,307
voicephishing,비정상,279
voicephishing,잠깐만요,266
voicephishing,맞으실까요,264
voicephishing,은행에,263
voicephishing,임시,263
voicephishing,확인이,262
voicephishing,되나요,250
voicephishing,계좌가,246
voicephishing,연락드렸습니다,234
voicephishing,절차를,233
voicephishing,건가요,222
voicephishing,명의로,222
voicephishing,그래서,222
voicephishing,외부,222
voicephishing,최근에,221
voicephishing,확인을,220
voicephishing,있어,220
voicephishing,화면에,219
voicephishing,주소가,218
voicephishing,계정,208
voicephishing,대조,208
